lon,lat,lampID,lampStatus
108.807936,34.173855,01010100010001,0
108.808205,34.17384,01010100010003,0
108.808474,34.17383,01010100010005,0
108.808743,34.173837,01010100010007,0
108.809012,34.173845,01010100010009,0
108.809281,34.173845,01010100010011,0
108.80955,34.17384,01010100010013,0
108.80982,34.173835,01010100010015,0
108.810088,34.173832,01010100010017,0
108.810358,34.173835,01010100010019,0
108.810627,34.173837,01010100010021,0
108.810897,34.17384,01010100010023,0
108.811166,34.173842,01010100010025,0
108.811434,34.173843,01010100010027,0
108.811704,34.173844,01010100010029,0
108.811973,34.173844,01010100010031,0
108.812243,34.173845,01010100010033,0
108.812511,34.173842,01010100010035,0
108.812781,34.173839,01010100010037,0
108.813049,34.173837,01010100010039,0
108.813319,34.173838,01010100010041,0
108.813587,34.173847,01010100010043,0
108.813849,34.1739,01010100010045,0
108.814113,34.173936,01010100010047,0
108.814382,34.173934,01010100010049,0
108.814652,34.173931,01010100010051,0
108.81492,34.17393,01010100010053,0
108.81519,34.173935,01010100010055,0
108.815459,34.17394,01010100010057,0
108.815729,34.173944,01010100010059,0
108.815998,34.173949,01010100010061,0
108.816266,34.173942,01010100010063,0
108.816536,34.173933,01010100010065,0
108.816805,34.173924,01010100010067,0
108.817074,34.173916,01010100010069,0
108.817343,34.173916,01010100010071,0
108.817613,34.173917,01010100010073,0
108.817881,34.173917,01010100010075,0
108.818151,34.173911,01010100010077,0
108.81842,34.173906,01010100010079,0
108.818689,34.173901,01010100010081,0
108.818958,34.173898,01010100010083,0
108.819228,34.173894,01010100010085,0
108.819496,34.173893,01010100010087,0
108.819766,34.173894,01010100010089,0
108.820035,34.173894,01010100010091,0
108.820304,34.173895,01010100010093,0
108.820574,34.173895,01010100010095,0
108.820842,34.173895,01010100010097,0
108.821112,34.173894,01010100010099,0
108.821381,34.173892,01010100010101,0
108.821651,34.17389,01010100010103,0
108.82192,34.173889,01010100010105,0
108.82219,34.173887,01010100010107,0
108.822459,34.173885,01010100010109,0
